"Episode","Total Reward"
0,6945.0
1,10028.0
2,18422.0
3,8063.0
4,9697.0
5,19657.0
6,2846.0
7,4910.0
8,14020.0
9,17532.0
10,4661.0
11,30000.0
12,10459.0
13,19639.0
14,12953.0
15,10946.0
16,22699.0
17,12607.0
18,18112.0
19,10210.0
20,3522.0
21,18045.0
22,2471.0
23,23264.0
24,16380.0
25,1273.0
26,2334.0
27,7308.0
28,15367.0
29,11241.0
30,9199.0
31,13114.0
32,8478.0
33,9962.0
34,8395.0
35,9403.0
36,12688.0
37,2264.0
38,3310.0
39,13100.0
40,30000.0
41,8808.0
42,11536.0
43,23095.0
44,4547.0
45,9741.0
46,17584.0
47,25110.0
48,9768.0
49,16025.0
