"Iteration","Epoch","Cumulated_Reward","Entropy","Critic Loss","Discounted Reward"
1,0,144.0,1.8835543,0,19.83723332928339
2,0,267.0,1.8587672,0,20.202148114330306
3,0,200.0,1.8929633,0,19.728824778668166
4,0,119.0,1.9247121,0,19.719049823404934
5,0,176.0,1.8915013,0,19.862202266283823
6,0,237.0,1.9158734,0,20.439845183707952
7,0,205.0,1.9100989,0,20.192952469687995
8,0,270.0,1.8472736,0,20.280669344730626
9,0,221.0,1.827738,0,19.827753247003923
10,0,200.0,1.9008703,0,20.29880402835092
11,0,120.0,1.9220042,0,19.72432801508013
12,0,145.0,1.9097152,0,19.839083393118543
13,0,215.0,1.897809,0,20.1600478703578
14,0,171.0,1.9214563,0,20.251454942641303
15,0,168.0,1.900953,0,19.722286731925152
16,0,198.0,1.8724711,0,19.754335362233164
17,0,171.0,1.8491964,0,20.154703035106714
18,0,134.0,1.9034154,0,19.717094618888986
19,0,213.0,1.8389511,0,20.18416489572015
20,0,136.0,1.9090382,0,19.80672315208486
21,0,127.0,1.8612118,0,19.632037467611745
22,0,378.0,1.888528,0,20.261912260007637
23,1,125.0,1.9013051,144.64474,19.765504321363014
24,1,162.0,1.8802587,144.64474,19.723477576871208
25,1,192.0,1.9155322,144.64474,20.41555084502241
26,1,189.0,1.9131184,144.64474,20.171284619794438
27,1,126.0,1.9087768,144.64474,19.78221958301542
28,1,115.0,1.6551522,144.64474,19.671500981601735
29,1,165.0,1.815304,144.64474,19.761269855242283
30,1,214.0,1.8474967,144.64474,20.23007053153158
31,1,269.0,1.9196618,144.64474,19.81988558587815
32,1,220.0,1.9216725,144.64474,19.808491563363535
33,1,137.0,1.7906007,144.64474,19.760929035587537
34,1,211.0,1.8906107,144.64474,20.233882611759274
35,1,126.0,1.8992082,144.64474,19.626058858932367
36,1,156.0,1.8755145,144.64474,19.743653719677148
37,1,137.0,1.9038022,144.64474,19.75645516239898
38,1,138.0,1.9022168,144.64474,19.801247917113727
39,1,130.0,1.9135885,144.64474,19.802823532859442
40,1,194.0,1.9198529,144.64474,19.769013430013267
41,1,115.0,1.9122989,144.64474,19.61296686515549
42,1,153.0,1.9132357,144.64474,20.290620709134885
43,1,204.0,1.7646816,144.64474,20.194683131633845
44,1,181.0,1.9085413,144.64474,19.77205998382725
45,1,170.0,1.8958833,144.64474,20.318966516727425
46,1,215.0,1.9054692,144.64474,20.259495594590337
47,2,124.0,1.8901916,21.738049,19.77583543816223
48,2,139.0,1.8994858,21.738049,19.83741353502432
49,2,127.0,1.9010283,21.738049,19.755121847845906
50,2,177.0,1.9079971,21.738049,19.81365030816756
51,2,172.0,1.9333262,21.738049,19.750173903435744
52,2,128.0,1.9078543,21.738049,19.690285289749
53,2,222.0,1.9046123,21.738049,20.225368359560182
54,2,139.0,1.9045626,21.738049,19.82767003125488
55,2,170.0,1.8961623,21.738049,20.168202042360093
56,2,173.0,1.7090857,21.738049,19.771968702859393
57,2,188.0,1.7516859,21.738049,19.866699992963404
58,2,205.0,1.8885553,21.738049,19.864473758406007
59,2,132.0,1.908534,21.738049,19.6710139313499
60,2,206.0,1.8953253,21.738049,19.857009685285078
61,2,217.0,1.9090936,21.738049,19.736646648330723
62,2,216.0,1.9010649,21.738049,19.73499873624154
63,2,131.0,1.8395238,21.738049,19.702541211472873
64,2,123.0,1.8868523,21.738049,19.695557907074583
65,2,201.0,1.910933,21.738049,20.273464601425072
66,2,220.0,1.9046466,21.738049,20.17843350360537
67,2,131.0,1.9043672,21.738049,19.742168415747205
68,2,160.0,1.9029081,21.738049,20.28373836833845
69,2,127.0,1.8855565,21.738049,19.808902572474075
70,2,286.0,1.9069052,21.738049,20.213292362312572
71,3,167.0,1.8497206,17.345968,19.83462812949243
72,3,132.0,1.9064962,17.345968,19.67575488518443
73,3,168.0,1.8603265,17.345968,20.186373974200727
74,3,116.0,1.7666916,17.345968,19.621277918035094
75,3,125.0,1.8591275,17.345968,19.66545563697466
76,3,135.0,1.8557423,17.345968,19.765364697066122
77,3,247.0,1.8838842,17.345968,20.261369154495473
78,3,121.0,1.8594452,17.345968,19.70224554580318
79,3,164.0,1.9134166,17.345968,19.74900316837461
80,3,190.0,1.8628827,17.345968,19.840179085897645
81,3,127.0,1.9149524,17.345968,19.64475591598574
82,3,379.0,1.9140854,17.345968,20.21971692506405
83,3,137.0,1.8778101,17.345968,19.798956350879592
84,3,132.0,1.6959184,17.345968,19.82717544118702
85,3,126.0,1.9005955,17.345968,19.64183678041119
86,3,119.0,1.8969984,17.345968,19.621234498545245
87,3,353.0,1.8535388,17.345968,20.193939150614646
88,3,119.0,1.8964615,17.345968,19.692619830648002
89,3,137.0,1.8723089,17.345968,19.760123622101702
90,3,180.0,1.8943642,17.345968,20.2740366137273
91,3,124.0,1.9075617,17.345968,19.816067428820094
92,3,258.0,1.9247185,17.345968,19.799575000443703
93,3,240.0,1.8961767,17.345968,20.165742072800626
